oid_ktovet,id_ktovet,k_rechov,t_rechov,ms_bayit,knisa,t_bayit_veknisa,t_ktovet_melea,x,y,ms_gush,ms_chelka,k_status_hesder,UniqueId,lon,lat,date_import,garbage,cleaning,gezem,recycle_blue,recycle_orange,t_rechov_eng,Longitude,Latitude
48851,128108,4887,4887,8, ,8 ,4887 8 ,181644.13,661372.0,6137,118,0,527-128108,34.80409,32.044937,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,4887,34.80409043060064,32.044938921322405
48852,120206,800,נמיר מרדכי,71, ,71 ,נמיר מרדכי 71 ,180824.85,666174.55,6108,764,0,527-120206,34.795224,32.088218,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,א,"ד,ה",NAMIR,34.795223517662976,32.088219565924504
48853,84017,594,ויסוצקי,6, ,6 ,ויסוצקי 6 ,180791.07,666150.16,6108,764,0,527-84017,34.794867,32.087997,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,א,ד,WISSOTZKY,34.79486660220558,32.08799849845003
48854,54626,3001,ירושלים,219,א,219א,ירושלים 219א,176690.95,659872.09,7050,160,0,527-54626,34.751715,32.031243,13/03/2026 00:44:42,כל השבוע,"א, ד, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ה,YERUSHALAYIM,34.75171513058286,32.03123666765308
48855,54385,3001,ירושלים,211,א,211א,ירושלים 211א,176711.46,659988.84,7050,156,0,527-54385,34.751927,32.032297,13/03/2026 00:44:42,כל השבוע,"א, ד, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ה,YERUSHALAYIM,34.751927074045426,32.03229028312891
48856,209875,701,עלית הנוער,48,ד,48ד,עלית הנוער 48ד,181189.86,664490.32,9256,23,0,527-209875,34.799157,32.073042,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,,,ALIYAT HANO'AR,34.799156865162445,32.07304403479041
48857,99427,2141,בן יוסף שלמה,22, ,22 ,בן יוסף שלמה 22 ,181141.48,670337.92,6631,133,0,527-99427,34.798412,32.125773,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,BEN YOSEF,34.79841130916246,32.125774426852544
48858,137875,3843,"לח""י",44, ,44 ,"לח""י 44 ",180575.94,661630.04,6136,98,0,527-137875,34.79277,32.047228,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,,,LEHI,34.79277047477341,32.047229656003196
48859,122213,2106,אשכול לוי,29, ,29 ,אשכול לוי 29 ,180147.33,668070.67,6634,243,0,527-122213,34.78797,32.105293,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,א,"ג,ה",LEVI ESHKOL,34.7879692948726,32.105294825421524
48860,214197,3003,המרד,34,א,34א,המרד 34א,177918.61,663580.88,7003,24,0,527-214197,34.764551,32.06473,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,ו,ה,HAMERED,34.764551115902314,32.06472741427834
48861,213942,4028,"פ""ד",5,,5,"פ""ד 5",180892.16,661860.12,6135,433,0,527-213942,34.796109,32.049313,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,,PHEY-DALAD,34.796109368915324,32.049315341239684
48862,124216,3105,אחילוף,18, ,18 ,אחילוף 18 ,176505.98,661343.56,9018,46,0,527-124216,34.749691,32.044506,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ה, ו",בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת שריד 2,לא קיים פינוי,לא קיים פינוי,AHILUF,34.749691527486085,32.044499050583774
48863,213955,3022,יהודה מרגוזה,54,ג,54ג,יהודה מרגוזה 54ג,176692.65,662027.48,7259,9,0,527-213955,34.751637,32.05068,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,YEHUDA MERAGUZA,34.75163747632017,32.05067355177132
48864,122942,2285,שטרן אייזק,22, ,22 ,שטרן אייזק 22 ,180053.31,668473.04,6885,21,0,527-122942,34.786957,32.108919,13/03/2026 00:44:42,"ב, ד, ו","ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,א,ג,Stern Isaac St,34.786956622004816,32.1089200090766
48865,84376,626,יציאת אירופה,35, ,35 ,יציאת אירופה 35 ,180166.74,662530.91,7068,7,0,527-84376,34.788401,32.055338,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,YETSIAT EUROPA,34.78840118480739,32.055339378510205
48866,97378,1274,1274,5, ,5 ,1274 5 ,179761.94,663603.5,7077,45,0,527-97378,34.78407,32.064996,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,1274,34.78407071869902,32.06499766141522
