oid_ktovet,id_ktovet,k_rechov,t_rechov,ms_bayit,knisa,t_bayit_veknisa,t_ktovet_melea,x,y,ms_gush,ms_chelka,k_status_hesder,UniqueId,lon,lat,date_import,garbage,cleaning,gezem,recycle_blue,recycle_orange,t_rechov_eng,Longitude,Latitude
1,94343,982,קהילת קובנה,12,א,12א,קהילת קובנה 12א,183227.41,669088.95,6625,550,0,527-94343,34.820563,32.114581,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,QEHILAT KOVNA,34.82056280628372,32.114580538968504
2,88364,801,בני אפרים,231,א,231א,בני אפרים 231א,182852.66,669087.12,6625,632,0,527-88364,34.816593,32.114551,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,ד,ו,BNEY EFRAYIM,34.81659217267685,32.11455195530735
3,94356,983,קהילת פוזנא,3,א,3א,קהילת פוזנא 3א,183109.86,669070.7,6625,558,0,527-94356,34.819319,32.114412,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ג,Kehillat Pozna,34.81931801735032,32.11441218426254
4,98172,2039,אנדרסן,12, ,12 ,אנדרסן 12 ,180855.32,669067.98,6649,308,0,527-98172,34.79543,32.114311,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,ANDERSEN,34.7954300030585,32.114312774254564
5,98301,2053,ברגסון,6, ,6 ,ברגסון 6 ,180803.69,669040.28,6649,310,0,527-98301,34.794884,32.114059,13/03/2026 00:44:42,"א, ג, ה","ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,BERGSON,34.79488404067246,32.11406118802364
6,132905,829,פתחיה מרגנשבורג,11, ,11 ,פתחיה מרגנשבורג 11 ,183819.03,669039.15,6623,416,0,527-132905,34.826834,32.114152,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,ה,PETAHYA MEREGENSBURG,34.82683328480249,32.114150328744024
7,89832,829,פתחיה מרגנשבורג,16, ,16 ,פתחיה מרגנשבורג 16 ,183915.28,669032.09,6623,556,0,527-89832,34.827854,32.114091,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,PETAHYA MEREGENSBURG,34.827853370708624,32.11408967743484
8,94357,983,קהילת פוזנא,4, ,4 ,קהילת פוזנא 4 ,183145.77,669016.44,6625,863,0,527-94357,34.819701,32.113924,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ג,Kehillat Pozna,34.819700516937324,32.113923987208736
9,100381,2215,גרינברג אורי צבי,13, ,13 ,גרינברג אורי צבי 13 ,180801.6,670886.2,6620,18,0,527-100381,34.794788,32.130705,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ב,ה,GREENBERG,34.79478758989903,32.13070706729435
10,100512,2223,אביגור,11, ,11 ,אביגור 11 ,180728.78,670847.19,6620,22,0,527-100512,34.794018,32.130351,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת גרינברג אורי צבי 5,ב,ה,AVIGUR,34.79401745626643,32.130352737152705
11,100377,2215,גרינברג אורי צבי,9, ,9 ,גרינברג אורי צבי 9 ,180813.48,670806.42,6620,19,0,527-100377,34.794917,32.129986,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ב,ה,GREENBERG,34.794916649202726,32.12998803229357
12,100036,2192,דרזנר יחיאל,51, ,51 ,דרזנר יחיאל 51 ,181931.78,670497.7,6628,730,0,527-100036,34.806781,32.12724,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.806779807379506,32.1272418775749
13,100039,2192,דרזנר יחיאל,57, ,57 ,דרזנר יחיאל 57 ,181956.21,670493.67,6628,731,0,527-100039,34.80704,32.127205,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80703876514932,32.12720633703678
14,135786,2192,דרזנר יחיאל,55, ,55 ,דרזנר יחיאל 55 ,181950.22,670491.81,6628,731,0,527-135786,34.806976,32.127188,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80697542083794,32.12718937138611
15,100006,2192,דרזנר יחיאל,8, ,8 ,דרזנר יחיאל 8 ,181877.1,670449.5,6628,641,0,527-100006,34.806203,32.126804,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80620216888277,32.126805374449525
16,100271,2207,קשאני אליעזר,11, ,11 ,קשאני אליעזר 11 ,181752.33,670438.31,6628,633,0,527-100271,34.804881,32.126699,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,KASHANI,34.804880467144436,32.12670032388278
17,100113,2196,אלקחי מרדכי,37, ,37 ,אלקחי מרדכי 37 ,182117.88,670381.83,6628,654,0,527-100113,34.808757,32.126202,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,ELQAHI,34.80875636299137,32.1262031295942
18,90771,854,עמרי,4,א,4א,עמרי 4א,182604.02,669105.67,6627,240,0,527-90771,34.813958,32.11471,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,OMRI,34.81395696475979,32.114711110924475
19,98166,2039,אנדרסן,5, ,5 ,אנדרסן 5 ,180826.57,669104.87,7223,19,0,527-98166,34.795124,32.114643,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,ANDERSEN,34.79512389681308,32.114644459434004
20,98168,2039,אנדרסן,7, ,7 ,אנדרסן 7 ,180863.07,669099.9,7223,20,0,527-98168,34.795511,32.114599,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,ANDERSEN,34.795510835365164,32.11460090158844
21,135063,982,קהילת קובנה,10,א,10א,קהילת קובנה 10א,183205.67,669096.94,6625,551,0,527-135063,34.820333,32.114652,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,QEHILAT KOVNA,34.82033221667527,32.114651841006356
22,88628,804,רפידים,32,א,32א,רפידים 32א,182484.6,669063.25,6627,301,0,527-88628,34.812694,32.114324,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה, ו",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,ו,REFIDIM,34.8126932499018,32.114324654471844
23,97981,2024,בארט אהרון,8, ,8 ,בארט אהרון 8 ,181215.75,669060.19,6649,256,0,527-97981,34.79925,32.114253,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,"ג,ו",ד,BARTH,34.79924926416987,32.11425474057186
24,99513,2149,האמוראים,5, ,5 ,האמוראים 5 ,180677.03,669055.58,7223,45,0,527-99513,34.793542,32.114193,13/03/2026 00:44:42,"א, ג, ה","ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,HA-AMORAIM,34.79354135147014,32.11419478292847
25,132906,829,פתחיה מרגנשבורג,17, ,17 ,פתחיה מרגנשבורג 17 ,183888.91,669053.67,6623,419,0,527-132906,34.827574,32.114285,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,ה,לא קיים פינוי,PETAHYA MEREGENSBURG,34.82757311342526,32.1142834318133
26,90633,848,קהילת ונציה,15, ,15 ,קהילת ונציה 15 ,183406.88,669029.28,6625,303,0,527-90633,34.822467,32.114049,13/03/2026 00:44:42,"א, ג, ה","ב, ג, ד, ה, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ו,KEHILAT VENEZIA,34.82246662831531,32.114048183224064
27,89828,829,פתחיה מרגנשבורג,14, ,14 ,פתחיה מרגנשבורג 14 ,183877.94,669027.14,6623,555,0,527-89828,34.827459,32.114045,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,PETAHYA MEREGENSBURG,34.82745787573845,32.1140438345527
28,132969,832,חילו יצחק,22, ,22 ,חילו יצחק 22 ,183947.21,669022.86,6623,575,0,527-132969,34.828193,32.114009,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,HILU,34.828191941631864,32.11400740927821
29,88730,806,מבצע קדש,7,א,7א,מבצע קדש 7א,182587.44,669021.84,6627,297,0,527-88730,34.813785,32.113954,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ו,MIVZA KADESH,34.81378452865289,32.1139546307227
30,97992,2025,הופיין,3, ,3 ,הופיין 3 ,181341.1,669020.73,6649,261,0,527-97992,34.800579,32.113901,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,"ג,ו",ד,HOOFIEN,34.800578915255876,32.113903205112265
31,100017,2192,דרזנר יחיאל,19, ,19 ,דרזנר יחיאל 19 ,181806.35,670515.39,6628,758,0,527-100017,34.805451,32.127396,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80544984648732,32.127397196486626
32,135769,2192,דרזנר יחיאל,27, ,27 ,דרזנר יחיאל 27 ,181839.02,670514.62,6628,759,0,527-135769,34.805797,32.12739,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80579610189549,32.127391382129815
33,100027,2192,דרזנר יחיאל,35, ,35 ,דרזנר יחיאל 35 ,181868.64,670505.69,6628,728,0,527-100027,34.806111,32.12731,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80611039024575,32.12731177445953
34,100031,2192,דרזנר יחיאל,41, ,41 ,דרזנר יחיאל 41 ,181893.94,670502.98,6628,729,0,527-100031,34.806379,32.127287,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80637856888652,32.127288241747806
35,100078,2196,אלקחי מרדכי,7, ,7 ,אלקחי מרדכי 7 ,182084.67,670409.31,6628,658,0,527-100078,34.808404,32.126448,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,ELQAHI,34.808403441387725,32.126449874771545
36,100081,2196,אלקחי מרדכי,9, ,9 ,אלקחי מרדכי 9 ,182082.19,670395.56,6628,659,0,527-100081,34.808378,32.126324,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,ELQAHI,34.808377649856375,32.12632579906603
37,89611,823,קהילת ריגה,16, ,16 ,קהילת ריגה 16 ,183321.38,669102.73,6625,567,0,527-89611,34.821559,32.114708,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ג,Kehillat Riga,34.821557944345706,32.11470782802949
38,97982,2024,בארט אהרון,9, ,9 ,בארט אהרון 9 ,181170.53,669101.95,6649,235,0,527-97982,34.798769,32.114628,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,"ג,ו",ד,BARTH,34.79876848090927,32.11462983670094
39,132822,823,קהילת ריגה,14, ,14 ,קהילת ריגה 14 ,183310.69,669078.2,6625,566,0,527-132822,34.821446,32.114487,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ג,Kehillat Riga,34.82144562715402,32.11448626990108
40,88629,804,רפידים,34, ,34 ,רפידים 34 ,182479.19,669077.53,6627,302,0,527-88629,34.812636,32.114452,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה, ו",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,ו,REFIDIM,34.81263541810773,32.11445326205358
41,94363,983,קהילת פוזנא,7, ,7 ,קהילת פוזנא 7 ,183158.56,669059.09,6625,560,0,527-94363,34.819835,32.114309,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ג,Kehillat Pozna,34.81983449426042,32.114309061973955
42,98298,2053,ברגסון,4, ,4 ,ברגסון 4 ,180806.6,669056.72,6649,310,0,527-98298,34.794915,32.114208,13/03/2026 00:44:42,"א, ג, ה","ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,BERGSON,34.79491425430695,32.114209516331336
43,89815,829,פתחיה מרגנשבורג,9, ,9 ,פתחיה מרגנשבורג 9 ,183795.89,669036.31,6623,415,0,527-89815,34.826589,32.114125,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,ה,ה,PETAHYA MEREGENSBURG,34.826588202646334,32.11412395375337
44,99511,2149,האמוראים,3, ,3 ,האמוראים 3 ,180672.86,669036.08,7223,70,0,527-99511,34.793498,32.114017,13/03/2026 00:44:42,"א, ג, ה","ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,HA-AMORAIM,34.79349801938187,32.114018794631534
45,88741,806,מבצע קדש,15, ,15 ,מבצע קדש 15 ,182685.96,669022.17,6627,484,0,527-88741,34.814829,32.11396,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ו,MIVZA KADESH,34.814828340994154,32.113960804810006
46,88732,806,מבצע קדש,9, ,9 ,מבצע קדש 9 ,182602.56,669022.12,6627,249,0,527-88732,34.813945,32.113957,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ו,MIVZA KADESH,34.81394477522601,32.1139576607182
47,100382,2215,גרינברג אורי צבי,15, ,15 ,גרינברג אורי צבי 15 ,180752.99,670904.95,6620,17,0,527-100382,34.794272,32.130873,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ב,ה,GREENBERG,34.794271616687894,32.130874479842646
48,130463,2192,דרזנר יחיאל,21, ,21 ,דרזנר יחיאל 21 ,181812.94,670511.45,6628,758,0,527-130463,34.805521,32.12736,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80551987487369,32.12736190947008
49,100026,2192,דרזנר יחיאל,33, ,33 ,דרזנר יחיאל 33 ,181863.08,670510.47,6628,728,0,527-100026,34.806052,32.127353,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80605125675514,32.12735470531818
50,100008,2192,דרזנר יחיאל,10, ,10 ,דרזנר יחיאל 10 ,181902.33,670461.89,6628,641,0,527-100008,34.80647,32.126916,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.806469092953286,32.1269179507511
51,100010,2192,דרזנר יחיאל,12, ,12 ,דרזנר יחיאל 12 ,181934.1,670456.31,6628,705,0,527-100010,34.806807,32.126867,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80680593169759,32.126868705770754
52,100269,2207,קשאני אליעזר,9, ,9 ,קשאני אליעזר 9 ,181753.16,670408.98,6628,633,0,527-100269,34.804891,32.126434,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,KASHANI,34.80489039492262,32.12643587971561
53,100117,2196,אלקחי מרדכי,41, ,41 ,אלקחי מרדכי 41 ,182122.6,670404.56,6628,655,0,527-100117,34.808806,32.126407,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,ELQAHI,34.808805482208214,32.12640829692552
54,100076,2196,אלקחי מרדכי,6, ,6 ,אלקחי מרדכי 6 ,182057.21,670401.84,6628,666,0,527-100076,34.808114,32.12638,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,ELQAHI,34.808112646582266,32.126381613537
55,94342,982,קהילת קובנה,12, ,12 ,קהילת קובנה 12 ,183219.47,669092.23,6625,550,0,527-94342,34.820479,32.11461,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,QEHILAT KOVNA,34.8204785808546,32.114609873000404
56,99515,2149,האמוראים,7, ,7 ,האמוראים 7 ,180682.51,669090.86,7223,46,0,527-99515,34.793598,32.114511,13/03/2026 00:44:42,"א, ג, ה","ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,HA-AMORAIM,34.79359803675201,32.11451312761347
57,98173,2039,אנדרסן,14, ,14 ,אנדרסן 14 ,180870.21,669066.3,6649,308,0,527-98173,34.795588,32.114296,13/03/2026 00:44:42,כל השבוע,"א, ד",בימים ב' ו- ד' 06:00 - 18:00,ג,א,ANDERSEN,34.79558776226975,32.11429806604255
58,89843,829,פתחיה מרגנשבורג,23, ,23 ,פתחיה מרגנשבורג 23 ,183965.31,669064.73,6623,422,0,527-89843,34.828383,32.114387,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,ה,ה,PETAHYA MEREGENSBURG,34.82838227174657,32.11438559691486
59,88627,804,רפידים,32, ,32 ,רפידים 32 ,182479.0,669051.78,6627,301,0,527-88627,34.812635,32.11422,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ו,REFIDIM,34.812634423166244,32.114221049597326
60,89825,829,פתחיה מרגנשבורג,13, ,13 ,פתחיה מרגנשבורג 13 ,183845.6,669044.17,6623,417,0,527-89825,34.827115,32.114198,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,ה,לא קיים פינוי,PETAHYA MEREGENSBURG,34.82711454459094,32.11419639690955
61,88357,801,בני אפרים,227,א,227א,בני אפרים 227א,182845.6,669040.34,6625,1025,0,527-88357,34.81652,32.114129,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,ד,ו,BNEY EFRAYIM,34.816519125105046,32.1141298661298
62,121977,2024,בארט אהרון,6, ,6 ,בארט אהרון 6 ,181216.86,669030.76,6649,265,0,527-121977,34.799263,32.113988,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,"ג,ו",ד,BARTH,34.79926218962548,32.113989460119214
63,89807,829,פתחיה מרגנשבורג,5, ,5 ,פתחיה מרגנשבורג 5 ,183754.42,669030.64,6623,413,0,527-89807,34.82615,32.114073,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,ה,ה,PETAHYA MEREGENSBURG,34.826149028254314,32.114071494437326
64,88725,806,מבצע קדש,5, ,5 ,מבצע קדש 5 ,182535.03,669020.4,6627,298,0,527-88725,34.81323,32.113939,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ו,MIVZA KADESH,34.8132293115228,32.113939953794144
65,88747,806,מבצע קדש,19, ,19 ,מבצע קדש 19 ,182743.19,669019.75,6625,637,0,527-88747,34.815435,32.11394,13/03/2026 00:44:42,"א, ג, ה","א, ה",בימים א' ו- ג' 06:00 - 18:00,ד,ו,MIVZA KADESH,34.81543486244547,32.1139408297622
66,100011,2192,דרזנר יחיאל,13, ,13 ,דרזנר יחיאל 13 ,181789.53,670530.76,6628,758,0,527-100011,34.805272,32.127534,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.805271079650964,32.12753528200979
67,100015,2192,דרזנר יחיאל,17, ,17 ,דרזנר יחיאל 17 ,181801.28,670522.3,6628,758,0,527-100015,34.805397,32.127458,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80539592672107,32.127459305426484
68,135774,2192,דרזנר יחיאל,37, ,37 ,דרזנר יחיאל 37 ,181875.85,670504.5,6628,728,0,527-135774,34.806188,32.1273,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.806186769513054,32.127301306051336
69,135787,2192,דרזנר יחיאל,61, ,61 ,דרזנר יחיאל 61 ,181969.86,670499.47,6628,731,0,527-135787,34.807184,32.127258,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80718325517994,32.12725906492477
70,100315,2208,גרונר דב,30,א,30א,גרונר דב 30א,182022.5,670427.47,6628,670,0,527-100315,34.807745,32.12661,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,GRUNER DOV,34.80774389963329,32.12661154049043
71,135815,2196,אלקחי מרדכי,54, ,54 ,אלקחי מרדכי 54 ,182168.97,670425.11,6628,766,0,527-135815,34.809297,32.126594,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,ELQAHI,34.8092961188892,32.12659511722216
72,100084,2196,אלקחי מרדכי,11, ,11 ,אלקחי מרדכי 11 ,182080.89,670387.01,6628,659,0,527-100084,34.808365,32.126247,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,ELQAHI,34.808364239582616,32.12624868360804
73,100079,2196,אלקחי מרדכי,8, ,8 ,אלקחי מרדכי 8 ,182049.94,670379.25,6628,665,0,527-100079,34.808037,32.126176,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,ELQAHI,34.80803653412248,32.12617762934894
74,100310,2208,גרונר דב,26, ,26 ,גרונר דב 26 ,182013.94,670374.64,6628,672,0,527-100310,34.807656,32.126133,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,GRUNER DOV,34.807655224402296,32.12613486832971
75,100114,2196,אלקחי מרדכי,38, ,38 ,אלקחי מרדכי 38 ,182157.78,670362.36,6628,644,0,527-100114,34.809181,32.126028,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,ELQAHI,34.80918000433006,32.126028886535025
76,100082,2196,אלקחי מרדכי,10, ,10 ,אלקחי מרדכי 10 ,182046.63,670358.33,6628,664,0,527-100082,34.808003,32.125987,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,ELQAHI,34.808002247462056,32.125988852058455
77,100093,2196,אלקחי מרדכי,18,א,18א,אלקחי מרדכי 18א,182077.94,670288.22,6628,649,0,527-100093,34.808338,32.125356,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,ELQAHI,34.80833679320449,32.12535766493388
78,100095,2196,אלקחי מרדכי,20, ,20 ,אלקחי מרדכי 20 ,182091.3,670291.84,6628,648,0,527-100095,34.808479,32.125389,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,ELQAHI,34.80847821946078,32.12539079685847
79,100168,2200,נקר מאיר,13, ,13 ,נקר מאיר 13 ,181992.53,670223.72,6628,688,0,527-100168,34.807435,32.124772,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,NAQAR,34.807434275698284,32.124773189003406
80,100166,2200,נקר מאיר,11,א,11א,נקר מאיר 11א,181985.86,670211.65,6628,687,0,527-100166,34.807365,32.124663,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,NAQAR,34.807364047183654,32.12466419041452
81,93520,947,חיל המשמר,24, ,24 ,חיל המשמר 24 ,181787.99,670081.53,6628,46,0,527-93520,34.805273,32.123483,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,HEL MISHMAR,34.80527232188886,32.12348417071656
82,134908,954,ברקאי שמואל,10, ,10 ,ברקאי שמואל 10 ,181900.0,670079.11,6628,72,0,527-134908,34.80646,32.123464,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,BARKAY,34.80645940334257,32.12346606682783
83,134843,947,חיל המשמר,22, ,22 ,חיל המשמר 22 ,181784.0,670065.95,6628,45,0,527-134843,34.805231,32.123342,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,HEL MISHMAR,34.80523071224822,32.12334355899037
84,93607,951,הנוטר,29,א,29א,הנוטר 29א,182095.3,670066.12,6628,578,0,527-93607,34.80853,32.123354,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,HaNoter,34.80852939577923,32.12335546452391
85,134860,948,"חי""ש",7, ,7 ,"חי""ש 7 ",181955.33,670005.5,6628,90,0,527-134860,34.807049,32.122803,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,HISH,34.80704857048292,32.12280412134817
86,98777,2095,הרכש,29, ,29 ,הרכש 29 ,182142.41,670002.34,6626,147,0,527-98777,34.809032,32.12278,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,HAREKHESH,34.80903107552358,32.122781864273996
